Designator,Mid X,Mid Y,Rotation,Layer
Q7,38.999999,106.0,90.0,top
Q8,54.999999,118.0,90.0,top
Q9,54.999999,106.0,90.0,top
R10,81.799999,68.1,270.0,top
R100,122.999999,44.0,90.0,top
R101,114.999999,26.0,270.0,bottom
R102,132.999999,30.0,0.0,top
R103,143.999999,36.0,0.0,top
R11,111.999999,66.54,180.0,top
R12,111.999999,64.0,180.0,top
R13,111.999999,61.46,180.0,top
R14,6.999999,35.51,0.0,top
R15,6.999999,32.9,180.0,top
R16,31.249999,38.8625,270.0,bottom
R17,24.854999,85.0,180.0,top
R18,24.854999,83.0,0.0,top
R19,28.854999,85.0,0.0,top
R2,119.999999,114.0,90.0,top
R20,28.854999,83.0,180.0,top
R22,32.354999,104.26,90.0,top
R23,10.854999,85.0,180.0,top
R24,10.854999,83.0,0.0,top
R25,17.854999,91.26,90.0,top
R26,31.854999,91.26,90.0,top
R27,16.854999,88.26,0.0,top
R28,30.854999,88.26,0.0,top
R29,14.854999,85.0,0.0,top
R3,79.799999,68.1,270.0,top
R30,14.854999,83.0,180.0,top
R31,27.999999,20.0,0.0,top
R32,23.999999,20.0,0.0,top
R34,53.999999,85.0,180.0,top
R35,53.999999,83.0,0.0,top
R36,57.999999,85.0,0.0,top
R37,57.999999,83.0,180.0,top
R39,61.499999,104.26,90.0,top
R4,87.799999,68.1,270.0,top
R40,39.999999,85.0,180.0,top
R41,39.999999,83.0,0.0,top
R42,46.999999,91.26,90.0,top
R43,60.999999,91.26,90.0,top
R44,45.999999,88.26,0.0,top
R45,59.999999,88.26,0.0,top
R46,43.999999,85.0,0.0,top
R47,43.999999,83.0,180.0,top
R48,20.999999,28.0,270.0,top
R49,22.999999,28.0,90.0,top
R5,77.799999,68.1,270.0,top
R51,82.999999,85.0,180.0,top
R52,82.999999,83.0,0.0,top
R53,86.999999,85.0,0.0,top
R54,86.999999,83.0,180.0,top
R56,90.499999,104.26,90.0,top
R57,68.999999,85.0,180.0,top
R58,68.999999,83.0,0.0,top
R59,75.999999,91.26,90.0,top
R6,85.799999,68.1,270.0,top
R60,89.999999,91.26,90.0,top
R61,74.999999,88.26,0.0,top
R62,88.999999,88.26,0.0,top
R63,72.999999,85.0,0.0,top
R64,72.999999,83.0,180.0,top
R65,35.999999,20.0,0.0,top
R66,35.999999,22.0,0.0,top
R68,111.999999,85.0,180.0,top
R69,111.999999,83.0,0.0,top
R7,75.799999,68.1,270.0,top
R70,115.999999,85.0,0.0,top
R71,115.999999,83.0,180.0,top
R73,119.499999,104.26,90.0,top
R74,97.999999,85.0,180.0,top
R75,97.999999,83.0,0.0,top
R76,104.999999,91.26,90.0,top
R77,118.999999,91.26,90.0,top
R78,103.999999,88.26,0.0,top
R79,117.999999,88.26,0.0,top
R8,83.799999,68.1,270.0,top
R80,101.999999,85.0,0.0,top
R81,101.999999,83.0,180.0,top
R82,45.999999,24.0,180.0,top
R83,46.999999,27.0,270.0,top
R85,81.999999,26.0,270.0,top
R86,81.999999,22.0,270.0,top
R87,129.999999,86.0,180.0,top
R88,96.999999,26.0,270.0,bottom
R89,83.999999,26.0,90.0,top
R9,73.799999,68.1,270.0,top
R90,129.999999,89.31,180.0,top
R91,105.999999,26.0,270.0,bottom
R92,102.999999,26.0,270.0,bottom
R93,99.999999,26.0,270.0,bottom
R94,21.999999,36.0,180.0,top
R95,111.999999,26.0,270.0,bottom
R96,108.999999,26.0,270.0,bottom
R97,20.999999,33.0,270.0,top
R98,120.999999,26.0,270.0,bottom
R99,117.999999,26.0,270.0,bottom
RN1,77.799999,58.1,0.0,top
RN2,83.799999,58.1,0.0,top
U1,94.524999,66.0,90.0,top
U10,9.854999,90.26,270.0,top
U11,23.854999,90.26,270.0,top
U12,55.999999,78.0,270.0,top
U13,41.999999,78.0,270.0,top
U14,38.999999,90.26,270.0,top
U15,52.999999,90.26,270.0,top
U16,84.999999,78.0,270.0,top
U17,70.999999,78.0,270.0,top
U18,67.999999,90.26,270.0,top
U19,81.999999,90.26,270.0,top
U2,85.799999,42.1,270.0,top
U20,113.999999,78.0,270.0,top
U21,99.999999,78.0,270.0,top
U22,96.999999,90.26,270.0,top
U23,110.999999,90.26,270.0,top
U24,142.999999,30.0,0.0,top
U3,76.799999,42.1,270.0,top
U4,92.999999,49.0,180.0,top
U5,115.999999,70.9,180.0,top
U6,67.999999,52.0,0.0,top
U7,33.999999,33.0,270.0,top
U8,26.854999,78.0,270.0,top
U9,12.854999,78.0,270.0,top
Y1,18.79,41.0,90.0,top
