Designator,Mid X,Mid Y,Rotation,Layer
C1,28.75,8.75,180.0,top
C10,63.25,11.675,0.0,top
C100,86.0,59.12,90.0,top
C101,86.0,55.92,90.0,top
C11,65.0,10.175,0.0,top
C12,19.0,49.0,180.0,top
C13,66.75,11.675,0.0,top
C14,134.25,60.0,0.0,top
C15,134.25,41.0,0.0,top
C16,103.0,39.25,90.0,top
C17,111.75,61.95,90.0,top
C18,27.0,29.25,270.0,top
C19,30.0,29.25,270.0,top
C2,101.1,81.37,180.0,top
C20,106.0,75.32,270.0,top
C21,83.0,39.25,90.0,top
C23,72.75,18.675,180.0,top
C24,70.0,12.465001,90.0,top
C26,72.75,21.175,180.0,top
C28,72.75,19.925,180.0,top
C29,24.0,29.25,270.0,top
C3,104.1,81.37,180.0,top
C30,37.275,11.0,180.0,top
C31,142.5,79.3,0.0,top
C32,59.75,10.925,90.0,top
C33,146.0,75.575,90.0,top
C34,61.25,10.925,90.0,top
C35,37.275,12.5,180.0,top
C36,37.275,14.0,180.0,top
C37,24.225,12.75,0.0,top
C38,24.225,14.25,0.0,top
C39,59.75,28.925,180.0,top
C4,142.55,82.1,0.0,top
C40,63.75,28.925,180.0,top
C41,61.75,30.425,180.0,top
C42,65.75,30.425,180.0,top
C43,21.5,89.5,270.0,top
C44,17.5,89.5,270.0,top
C45,44.5,89.5,270.0,top
C46,40.5,89.5,270.0,top
C47,52.0,89.5,270.0,top
C48,48.275,89.549979,270.0,top
C49,64.0,89.5,270.0,top
C5,39.0,29.25,270.0,top
C50,56.0,89.5,270.0,top
C51,24.225,11.25,0.0,top
C52,23.5,74.0,270.0,top
C53,19.0,85.5,270.0,top
C54,32.5,64.0,180.0,top
C55,28.5,74.0,90.0,top
C56,49.5,75.5,0.0,top
C57,38.725,77.5,0.0,top
C58,70.725,66.0,180.0,top
C59,57.0,10.925,90.0,top
C6,36.0,29.25,270.0,top
C60,116.425,40.209999,90.0,top
C61,57.0,65.9,180.0,top
C62,61.725,77.5,0.0,top
C63,78.0,66.0,180.0,top
C64,67.75,28.925,180.0,top
C65,60.0,89.5,270.0,top
C66,53.45,55.6375,270.0,top
C67,68.0,89.5,270.0,top
C68,153.5,75.575,270.0,top
C69,54.95,55.6375,270.0,top
C7,33.0,29.25,270.0,top
C70,54.95,41.8875,90.0,top
C71,53.75,35.425,180.0,top
C72,53.45,41.8875,90.0,top
C73,112.85,34.870001,180.0,top
C74,113.525,39.725,90.0,top
C75,18.25,45.75,90.0,top
C76,32.25,46.0,90.0,top
C77,18.25,42.2,270.0,top
C78,22.25,50.75,180.0,top
C79,28.0,36.5,0.0,top
C8,59.2,45.0,0.0,top
C80,148.8375,28.3,0.0,top
C81,112.95,32.870001,0.0,top
C82,112.95,30.620001,0.0,top
C84,25.5,89.5,270.0,top
C85,33.0,89.5,270.0,top
C86,36.7,89.5,270.0,top
C87,23.6,66.9,270.0,top
C88,29.0,89.549979,270.0,top
C89,70.9,59.5,270.0,top
C9,58.5,10.925,90.0,top
C90,15.1,41.3,270.0,top
C91,15.1,35.5,90.0,top
C92,21.1,54.9,180.0,top
C93,90.0,69.82,180.0,top
C94,90.0,65.32,180.0,top
C95,90.0,60.82,180.0,top
C96,90.0,56.32,180.0,top
C97,15.1,26.9,0.0,top
C98,86.0,65.32,270.0,top
C99,86.0,62.22,270.0,top
D1,149.5,90.0,0.0,top
D10,23.5,82.74,90.0,top
D11,48.0,82.74,90.0,top
D12,37.0,83.5,90.0,top
D13,64.0,83.5,90.0,top
D14,54.0,83.5,90.0,top
D15,59.0,83.5,270.0,top
D16,69.0,83.5,90.0,top
